2,0.075,0.055,0.01,0.002,0.001,5.00E-04,0.0015,1
2,NA,0.1,0.025,0.015,0.0045,0.004,0.005,2
2,0.13,0.1,NA,NA,0.0045,0.003,0.004,3
2,NA,NA,0.03,0.008,0.0025,0.002,NA,3
2,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
1,0.21,0.15,NA,NA,NA,NA,0.01,3
1,0.155,0.11,0.04,NA,0.0065,NA,0.005,3
NA,0.16,0.11,NA,NA,NA,0.0055,0.005,3
NA,0.24,NA,0.065,0.0665,NA,0.0135,0.017,3
2,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
2,0.14,0.105,0.035,0.014,NA,0.0025,0.004,3
NA,0.18,0.13,0.045,0.0275,0.0125,NA,0.009,3
1,0.18,0.125,0.05,0.023,NA,0.0055,0.01,3
2,0.19,0.14,NA,NA,0.0125,0.005,0.0105,3
2,NA,NA,0.05,0.021,0.0075,0.0045,NA,3
2,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3
2,0.205,NA,0.045,0.0495,NA,0.011,NA,3
2,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
2,NA,0.19,0.06,NA,0.042,NA,0.025,4
NA,0.17,0.13,0.095,0.03,NA,0.008,0.01,4
2,0.225,0.16,0.045,0.0465,0.025,0.015,NA,4
2,NA,0.195,0.06,NA,0.0445,NA,0.026,4
2,0.28,0.21,0.085,0.1065,0.039,NA,0.03,4
2,0.2,0.145,0.06,NA,0.0125,0.0095,0.011,4
NA,0.19,0.145,0.04,NA,NA,0.0065,0.015,4
1,0.325,NA,0.09,NA,0.06,0.034,NA,4
1,0.235,0.16,NA,NA,NA,0.0095,0.015,4
1,0.175,0.125,0.04,0.024,0.0095,0.006,NA,4
1,0.195,0.145,0.05,NA,0.01,0.008,0.012,4
NA,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
2,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
2,0.18,NA,0.035,0.0265,0.0095,0.0055,0.0085,4
2,NA,NA,0.055,0.083,0.031,0.0215,NA,4
2,0.28,0.12,0.075,NA,0.0455,0.029,0.0345,4
NA,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4
2,0.185,0.13,NA,NA,0.012,NA,NA,4
2,0.195,0.135,0.04,0.0325,0.0135,0.005,NA,4
NA,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
2,NA,0.165,0.055,0.059,NA,0.0125,0.015,4
2,NA,0.18,0.065,0.071,NA,0.013,0.0215,4
NA,NA,0.205,0.06,NA,0.034,0.014,NA,4
2,0.36,NA,0.085,0.196,0.0875,0.035,0.064,4
NA,NA,NA,NA,0.0515,NA,0.0145,0.036,4
NA,0.24,0.18,0.055,NA,0.0235,0.013,NA,4
2,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4
2,0.16,0.11,NA,NA,0.0075,0.005,NA,4
2,NA,NA,0.035,NA,NA,0.0065,0.0035,4
2,NA,0.115,0.015,NA,0.0055,NA,0.005,4
2,NA,NA,0.05,0.036,0.0125,0.008,0.011,4
2,0.205,0.15,NA,0.04,0.02,0.011,0.013,4
2,NA,0.17,0.07,0.0565,0.024,NA,0.016,4
2,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
2,0.22,NA,0.05,0.049,0.0215,0.01,0.015,4
NA,0.21,0.15,0.045,0.04,NA,0.008,0.0105,4
2,NA,0.175,NA,NA,NA,0.008,0.02,4
2,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
2,NA,0.2,0.055,0.0925,0.038,0.021,0.026,4
2,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
2,NA,0.185,NA,NA,0.0305,0.0165,0.02,4
NA,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
2,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
1,0.165,NA,0.04,0.0245,NA,0.0045,0.008,4
2,0.25,NA,0.065,0.0805,0.0345,0.0185,0.0215,4
2,0.21,0.15,0.055,0.0455,0.02,0.0065,NA,4
NA,0.24,0.185,0.06,0.0655,0.0295,5.00E-04,0.02,4
2,0.26,NA,NA,0.097,0.0415,0.019,0.0305,4
2,NA,0.125,0.04,0.028,0.0095,NA,NA,4
2,0.17,NA,0.035,NA,0.012,0.0085,NA,4
2,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
2,NA,0.12,0.02,0.018,0.0075,0.0045,0.005,4
NA,NA,0.18,0.065,NA,0.0245,NA,0.02,4
2,0.27,NA,0.075,NA,0.059,0.031,0.0305,4
2,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
2,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
2,NA,0.175,0.045,NA,0.0315,0.0235,NA,5
2,0.205,0.15,0.055,NA,0.0255,0.015,0.012,5
2,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
2,0.175,0.13,NA,0.0315,0.0105,0.0065,0.0125,5
2,0.235,0.16,0.04,NA,0.0185,0.018,0.015,5
2,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
2,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
2,0.27,0.2,0.07,0.1,0.034,0.0245,NA,5
2,0.23,0.175,0.065,NA,0.026,NA,0.02,5
2,0.265,0.21,NA,0.0965,0.0425,0.022,NA,5
2,0.265,0.205,0.07,0.1055,NA,0.041,0.035,5
2,0.3,0.22,0.08,0.121,NA,0.042,NA,5
2,0.235,0.175,NA,0.0705,0.0335,0.015,0.02,5
2,0.22,NA,0.055,0.0545,NA,0.012,0.02,5
2,NA,NA,0.05,0.0235,0.008,0.0035,0.008,5
0,0.275,0.195,NA,0.08,0.031,0.0215,0.025,5
1,0.28,0.2,0.08,NA,0.033,NA,0.03,5
NA,0.36,NA,0.09,0.1885,0.0845,NA,0.055,5
1,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
1,0.275,0.205,0.07,NA,0.0335,0.02,0.0325,5
1,0.255,0.18,0.065,0.079,0.034,0.014,NA,5
2,0.255,NA,0.075,0.0865,NA,0.0205,NA,5
1,0.28,0.205,0.1,NA,0.0545,0.0285,NA,5
NA,0.215,0.155,0.06,0.0525,0.021,0.0165,NA,5
